,,,
t (s),x (m),y (m),v_{x} (m/s)
0.0000,0.4240,0.0429,
0.0667,0.4130,0.0429,-0.2142
0.1000,0.4026,0.0430,-0.3167
0.1333,0.3919,0.0430,-0.3161
0.1667,0.3816,0.0430,-0.3170
0.2000,0.3707,0.0430,-0.3220
0.2333,0.3601,0.0430,-0.3136
0.2667,0.3498,0.0430,-0.3142
0.3000,0.3391,0.0430,-0.3228
0.3333,0.3283,0.0431,-0.3246
0.3667,0.3175,0.0439,-0.3199
0.4000,0.3070,0.0434,-0.3088
0.4333,0.2969,0.0432,-0.3114
0.4667,0.2862,0.0432,-0.3198
0.5000,0.2756,0.0432,-0.3078
0.5333,0.2657,0.0432,-0.3133
0.5667,0.2547,0.0433,-0.3188
0.6000,0.2444,0.0432,-0.3073
0.6333,0.2342,0.0433,-0.3166
0.6667,0.2233,0.0433,-0.3148
0.7000,0.2132,0.0432,-0.3137
0.7333,0.2024,0.0434,-0.3167
0.7667,0.1921,0.0431,-0.3054
0.8000,0.1821,0.0433,-0.3181
0.8333,0.1709,0.0436,-0.3215
0.8667,0.1606,0.0434,-0.3049
0.9000,0.1506,0.0435,-0.3051
0.9333,0.1403,0.0430,-0.2617
0.9667,0.1331,0.0432,-0.0886
1.0000,0.1344,0.0433,0.1208
1.0333,0.1412,0.0435,0.2274
1.0667,0.1495,0.0435,0.2555
1.1000,0.1582,0.0435,0.2610
1.1333,0.1669,0.0433,0.2423
1.1667,0.1744,0.0435,0.2524
1.2000,0.1838,0.0435,0.2633
1.2333,0.1919,0.0435,0.2454
1.2667,0.2001,0.0433,0.2637
1.3000,0.2095,0.0435,0.2494
1.3333,0.2168,0.0433,0.2432
1.3667,0.2257,0.0434,0.2685
1.4000,0.2346,0.0434,0.2497
1.4333,0.2424,0.0433,0.2547
1.4667,0.2516,0.0434,0.2604
1.5000,0.2597,0.0434,0.2435
1.5333,0.2679,0.0432,0.2591
1.5667,0.2770,0.0434,0.2549
1.6000,0.2849,0.0432,0.2510
1.6333,0.2937,0.0432,0.2638
1.6667,0.3025,0.0433,0.2489
1.7000,0.3103,0.0432,0.2533
1.7333,0.3193,0.0431,0.2567
1.7667,0.3274,0.0432,0.2500
1.8000,0.3360,0.0431,0.2582
1.8333,0.3447,0.0433,0.2603
1.8667,0.3534,0.0431,0.2542
1.9000,0.3616,0.0431,0.2537
1.9333,0.3703,0.0431,0.2563
1.9667,0.3787,0.0430,0.2532
2.0000,0.3871,0.0430,0.2597
2.0333,0.3960,0.0430,0.2559
2.0667,0.4042,0.0430,0.2497
2.1000,0.4126,0.0430,0.2602
2.1333,0.4216,0.0430,0.2558
2.1667,0.4297,0.0430,0.2512
2.2000,0.4383,0.0429,0.2559
2.2333,0.4468,0.0429,0.2534
2.2667,0.4552,0.0428,0.2590
2.3000,0.4640,0.0429,0.2586
2.3333,0.4724,0.0430,0.2498
2.3667,0.4807,0.0428,0.2569
2.4000,0.4896,0.0430,0.2542
2.4333,0.4976,0.0429,0.2490
2.4667,0.5062,0.0429,0.2591
2.5000,0.5149,0.0427,0.2537
2.5333,0.5231,0.0428,0.2520
2.5667,0.5317,0.0427,0.2586
2.6000,0.5403,0.0428,0.2524
2.6333,0.5485,0.0428,0.2512
2.6667,0.5571,0.0427,0.2555
2.7000,0.5656,0.0429,0.2547
2.7333,0.5740,0.0427,0.2549
2.7667,0.5825,0.0426,0.2486
2.8000,0.5906,0.0426,0.2491
2.8333,0.5992,0.0426,0.2568
2.8667,0.6077,0.0426,0.2523
2.9000,0.6160,0.0426,0.2513
2.9333,0.6245,0.0426,0.2518
2.9667,0.6328,0.0426,0.2518
3.0000,0.6413,0.0425,0.2512
3.0333,0.6495,0.0426,0.2525
3.0667,0.6581,0.0424,0.2537
3.1000,0.6664,0.0425,0.2491
3.1333,0.6747,0.0423,0.2512
3.1667,0.6832,0.0425,0.2499
3.2000,0.6914,0.0425,0.2475
3.2333,0.6997,0.0424,0.2528
3.2667,0.7082,0.0424,0.2486
3.3000,0.7162,0.0424,0.2470
3.3333,0.7247,0.0423,0.2517
3.3667,0.7330,0.0423,0.2477
3.4000,0.7412,0.0423,0.2484
3.4333,0.7496,0.0423,0.2474
3.4667,0.7577,0.0423,0.2485
3.5000,0.7661,0.0423,0.2468
3.5333,0.7741,0.0422,0.2458
3.5667,0.7825,0.0422,0.2478
3.6000,0.7907,0.0422,0.2457
3.6333,0.7989,0.0421,0.2490
3.6667,0.8073,0.0422,0.2472
3.7000,0.8154,0.0421,0.2454
3.7333,0.8236,0.0424,0.2482
3.7667,0.8319,0.0421,0.2446
3.8000,0.8399,0.0422,0.2457
3.8333,0.8483,0.0424,0.2475
3.8667,0.8564,0.0422,0.2421
3.9000,0.8645,0.0423,0.2468
3.9333,0.8729,0.0420,0.2477
3.9667,0.8810,0.0420,0.2440
4.0000,0.8891,0.0420,0.2450
4.0333,0.8973,0.0420,0.2446
4.0667,0.9055,0.0421,0.2449
4.1000,0.9136,0.0419,0.2476
4.1333,0.9220,0.0419,0.2473
4.1667,0.9301,0.0418,0.2431
4.2000,0.9382,0.0418,0.2468
4.2333,0.9466,0.0417,0.2481
4.2667,0.9547,0.0418,0.2415
4.3000,0.9627,0.0418,0.2438
4.3333,0.9710,0.0418,0.2473
4.3667,0.9792,0.0419,0.2419
4.4000,0.9871,0.0416,0.2447
4.4333,0.9955,0.0416,0.2496
4.4667,1.0037,0.0415,0.2425
4.5000,1.0116,0.0417,0.2453
4.5333,1.0201,0.0415,0.2438
4.5667,1.0279,0.0417,0.2418
4.6000,1.0362,0.0417,0.2463
4.6333,1.0443,0.0417,0.2443
4.6667,1.0525,0.0415,0.2438
4.7000,1.0606,0.0415,0.2407
4.7333,1.0685,0.0414,0.2418
4.7667,1.0767,0.0414,0.2464
4.8000,1.0850,0.0414,0.2426
